dataset,n,tsteps,threads,seconds_time_elapsed,insn_per_cycle,branch_misses
test2,500,2,1,0.020073281,0.86,17304
test2,500,2,2,0.012508794,0.91,19998
test2,500,2,4,0.008705649,1.04,22433
test2,500,2,8,0.010164698,0.84,27865
test10,1000,10,1,0.020163002,0.86,17864
test10,1000,10,2,0.012462095,0.91,19548
test10,1000,10,4,0.008654383,1.04,22276
test10,1000,10,8,0.009470216,0.85,27519
test100,10000,100,1,0.020121839,0.86,17822
test100,10000,100,2,0.012487408,0.91,20003
test100,10000,100,4,0.008663867,1.04,22172
test100,10000,100,8,0.009737757,0.85,28359
test1000,100000,1000,1,0.020242680,0.85,17696
test1000,100000,1000,2,0.012423115,0.91,19711
test1000,100000,1000,4,0.009103818,1.05,22317
test1000,100000,1000,8,0.009548728,0.84,28104
test10000,1000000,1000,1,0.020440663,0.86,17563
test10000,1000000,1000,2,0.012493710,0.91,20211
test10000,1000000,1000,4,0.008727384,1.04,22367
test10000,1000000,1000,8,0.009415918,0.85,27661

